Time,ID
Field,F0213
Field,F0214
Field,F0215
Field,F0216
Field,F0217
Field,F0218
Field,F0219
Field,F0220
Field,F0221
Field,F0222
Field,F0223
Field,F0224
Field,F0225
Field,F0226
Field,F0227
Field,F0228
Field,F0229
Field,F0230
Field,F0231
Field,F0232
Field,F0234
Two Weeks,F0213
Two Weeks,F0214
Two Weeks,F0215
Two Weeks,F0216
Two Weeks,F0217
Two Weeks,F0218
Two Weeks,F0219
Two Weeks,F0220
Two Weeks,F0221
Two Weeks,F0222
Two Weeks,F0223
Two Weeks,F0224
Two Weeks,F0225
Two Weeks,F0226
Two Weeks,F0227
Two Weeks,F0228
Two Weeks,F0229
Two Weeks,F0230
Two Weeks,F0231
Two Weeks,F0232
Two Weeks,F0234
Four Weeks,F0213
Four Weeks,F0214
Four Weeks,F0215
Four Weeks,F0216
Four Weeks,F0217
Four Weeks,F0218
Four Weeks,F0219
Four Weeks,F0220
Four Weeks,F0221
Four Weeks,F0222
Four Weeks,F0223
Four Weeks,F0224
Four Weeks,F0225
Four Weeks,F0226
Four Weeks,F0227
Four Weeks,F0228
Four Weeks,F0229
Four Weeks,F0230
Four Weeks,F0231
Four Weeks,F0232
Four Weeks,F0234
Six Weeks,F0213
Six Weeks,F0214
Six Weeks,F0215
Six Weeks,F0216
Six Weeks,F0217
Six Weeks,F0218
Six Weeks,F0219
Six Weeks,F0220
Six Weeks,F0221
Six Weeks,F0222
Six Weeks,F0223
Six Weeks,F0224
Six Weeks,F0225
Six Weeks,F0226
Six Weeks,F0227
Six Weeks,F0228
Six Weeks,F0229
Six Weeks,F0230
Six Weeks,F0231
Six Weeks,F0232
Six Weeks,F0234
Eight Weeks,F0213
Eight Weeks,F0214
Eight Weeks,F0215
Eight Weeks,F0216
Eight Weeks,F0217
Eight Weeks,F0218
Eight Weeks,F0219
Eight Weeks,F0220
Eight Weeks,F0221
Eight Weeks,F0222
Eight Weeks,F0223
Eight Weeks,F0224
Eight Weeks,F0225
Eight Weeks,F0226
Eight Weeks,F0227
Eight Weeks,F0228
Eight Weeks,F0229
Eight Weeks,F0230
Eight Weeks,F0231
Eight Weeks,F0232
Eight Weeks,F0234
