Time,ID
Field,F0054
Field,F0055
Field,F0056
Field,F0058
Field,F0059
Field,F0060
Field,F0061
Field,F0062
Field,F0063
Field,F0064
Field,F0065
Field,F0066
Field,F0067
Field,F0068
Field,F0069
Two Weeks,F0054
Two Weeks,F0055
Two Weeks,F0056
Two Weeks,F0058
Two Weeks,F0059
Two Weeks,F0060
Two Weeks,F0061
Two Weeks,F0062
Two Weeks,F0063
Two Weeks,F0064
Two Weeks,F0065
Two Weeks,F0066
Two Weeks,F0067
Two Weeks,F0068
Two Weeks,F0069
Four Weeks,F0054
Four Weeks,F0055
Four Weeks,F0056
Four Weeks,F0058
Four Weeks,F0059
Four Weeks,F0060
Four Weeks,F0061
Four Weeks,F0062
Four Weeks,F0063
Four Weeks,F0064
Four Weeks,F0065
Four Weeks,F0066
Four Weeks,F0067
Four Weeks,F0068
Four Weeks,F0069
Six Weeks,F0054
Six Weeks,F0055
Six Weeks,F0056
Six Weeks,F0058
Six Weeks,F0059
Six Weeks,F0060
Six Weeks,F0061
Six Weeks,F0062
Six Weeks,F0063
Six Weeks,F0064
Six Weeks,F0065
Six Weeks,F0066
Six Weeks,F0067
Six Weeks,F0068
Six Weeks,F0069
Eight Weeks,F0054
Eight Weeks,F0055
Eight Weeks,F0056
Eight Weeks,F0058
Eight Weeks,F0059
Eight Weeks,F0060
Eight Weeks,F0061
Eight Weeks,F0062
Eight Weeks,F0063
Eight Weeks,F0064
Eight Weeks,F0065
Eight Weeks,F0066
Eight Weeks,F0067
Eight Weeks,F0068
Eight Weeks,F0069
