River,Site,Time,ID,
Little River,Academy,Field,F0009,a
Little River,Academy,Field,F0012,a
Little River,Academy,Field,F0028,a
Little River,Academy,Field,F0029,a
Little River,Academy,Field,F0030,a
Little River,Academy,Field,F0031,a
Little River,Academy,Field,F0032,a
Little River,Academy,Field,F0039,a
Navasota,Easterly,Field,F0040,a
Navasota,Easterly,Field,F0042,a
Navasota,Easterly,Field,F0043,a
Navasota,Easterly,Field,F0044,a
Navasota,Easterly,Field,F0045,a
Navasota,Easterly,Field,F0046,a
Navasota,Easterly,Field,F0047,a
Navasota,Easterly,Field,F0048,a
Little River,Academy,Two Weeks,F0009,b
Little River,Academy,Two Weeks,F0012,b
Little River,Academy,Two Weeks,F0028,b
Little River,Academy,Two Weeks,F0029,b
Little River,Academy,Two Weeks,F0030,b
Little River,Academy,Two Weeks,F0031,b
Little River,Academy,Two Weeks,F0032,b
Little River,Academy,Two Weeks,F0039,b
Navasota,Easterly,Two Weeks,F0040,b
Navasota,Easterly,Two Weeks,F0042,b
Navasota,Easterly,Two Weeks,F0043,b
Navasota,Easterly,Two Weeks,F0044,b
Navasota,Easterly,Two Weeks,F0045,b
Navasota,Easterly,Two Weeks,F0046,b
Navasota,Easterly,Two Weeks,F0047,b
Navasota,Easterly,Two Weeks,F0048,b
Little River,Academy,Four Weeks,F0009,c
Little River,Academy,Four Weeks,F0012,c
Little River,Academy,Four Weeks,F0028,c
Little River,Academy,Four Weeks,F0029,c
Little River,Academy,Four Weeks,F0030,c
Little River,Academy,Four Weeks,F0031,c
Little River,Academy,Four Weeks,F0032,c
Little River,Academy,Four Weeks,F0039,c
Navasota,Easterly,Four Weeks,F0040,c
Navasota,Easterly,Four Weeks,F0042,c
Navasota,Easterly,Four Weeks,F0043,c
Navasota,Easterly,Four Weeks,F0044,c
Navasota,Easterly,Four Weeks,F0045,c
Navasota,Easterly,Four Weeks,F0046,c
Navasota,Easterly,Four Weeks,F0047,c
Navasota,Easterly,Four Weeks,F0048,c
Little River,Academy,Six Weeks,F0009,d
Little River,Academy,Six Weeks,F0012,d
Little River,Academy,Six Weeks,F0028,d
Little River,Academy,Six Weeks,F0029,d
Little River,Academy,Six Weeks,F0030,d
Little River,Academy,Six Weeks,F0031,d
Little River,Academy,Six Weeks,F0032,d
Little River,Academy,Six Weeks,F0039,d
Navasota,Easterly,Six Weeks,F0040,d
Navasota,Easterly,Six Weeks,F0042,d
Navasota,Easterly,Six Weeks,F0043,d
Navasota,Easterly,Six Weeks,F0044,d
Navasota,Easterly,Six Weeks,F0045,d
Navasota,Easterly,Six Weeks,F0046,d
Navasota,Easterly,Six Weeks,F0047,d
Navasota,Easterly,Six Weeks,F0048,d
Little River,Academy,Eight Weeks,F0009,e
Little River,Academy,Eight Weeks,F0012,e
Little River,Academy,Eight Weeks,F0028,e
Little River,Academy,Eight Weeks,F0029,e
Little River,Academy,Eight Weeks,F0030,e
Little River,Academy,Eight Weeks,F0031,e
Little River,Academy,Eight Weeks,F0032,e
Little River,Academy,Eight Weeks,F0039,e
Navasota,Easterly,Eight Weeks,F0040,e
Navasota,Easterly,Eight Weeks,F0042,e
Navasota,Easterly,Eight Weeks,F0043,e
Navasota,Easterly,Eight Weeks,F0044,e
Navasota,Easterly,Eight Weeks,F0045,e
Navasota,Easterly,Eight Weeks,F0046,e
Navasota,Easterly,Eight Weeks,F0047,e
Navasota,Easterly,Eight Weeks,F0048,e
Guadelupe,Comfort,Field,F0149,a
Guadelupe,Comfort,Field,F0150,a
Guadelupe,Comfort,Field,F0152,a
Guadelupe,Comfort,Field,F0153,a
Guadelupe,Comfort,Field,F0154,a
Guadelupe,Comfort,Field,F0161,a
Guadelupe,Comfort,Field,F0162,a
Guadelupe,Comfort,Field,F0163,a
Guadelupe,Comfort,Field,F0164,a
Guadelupe,Comfort,Field,F0165,a
Medina,Bendera,Field,F0168,a
Medina,Bendera,Field,F0170,a
Medina,Bendera,Field,F0171,a
Medina,Bendera,Field,F0172,a
Medina,Bendera,Field,F0173,a
Medina,Bendera,Field,F0174,a
Medina,Bendera,Field,F0175,a
Medina,Bendera,Field,F0176,a
Medina,Bendera,Field,F0177,a
Lampasas,Kempner,Field,F0178,a
Lampasas,Kempner,Field,F0179,a
Lampasas,Kempner,Field,F0180,a
Lampasas,Kempner,Field,F0181,a
Lampasas,Kempner,Field,F0182,a
Lampasas,Kempner,Field,F0183,a
Lampasas,Kempner,Field,F0184,a
Lampasas,Kempner,Field,F0185,a
Lampasas,Kempner,Field,F0187,a
Lampasas,Kempner,Field,F0188,a
Guadelupe,Comfort,Two Weeks,F0149,b
Guadelupe,Comfort,Two Weeks,F0150,b
Guadelupe,Comfort,Two Weeks,F0152,b
Guadelupe,Comfort,Two Weeks,F0153,b
Guadelupe,Comfort,Two Weeks,F0154,b
Guadelupe,Comfort,Two Weeks,F0161,b
Guadelupe,Comfort,Two Weeks,F0162,b
Guadelupe,Comfort,Two Weeks,F0163,b
Guadelupe,Comfort,Two Weeks,F0164,b
Guadelupe,Comfort,Two Weeks,F0165,b
Medina,Bendera,Two Weeks,F0168,b
Medina,Bendera,Two Weeks,F0170,b
